Index,URL,Anti-clickjacking Header,Cross Domain Script Inclusion,Content Security Policy (CSP) Header,Strict-Transport-Security (HSTS) Header,Cookie Secure Flag,Application Error
1,https://en.wikipedia.org/wiki/Eventbrite,High risk (X-Frame-Options header missing),No risk (no cross-domain scripts without integrity attribute found),Medium risk (Content-Security-Policy header missing),No risk (Strict-Transport-Security header is set correctly or not applicable),No risk (cookies secure),No risk (No application errors detected)
2,https://en.wikipedia.org/w/index.php?title=Web_scraping&action=edit&section=11,Low risk (protected by X-Frame-Options),No risk (no cross-domain scripts without integrity attribute found),Medium risk (Content-Security-Policy header missing),No risk (Strict-Transport-Security header is set correctly or not applicable),No risk (cookies secure),No risk (No application errors detected)
3,https://en.wikipedia.org/w/index.php?title=Special:UrlShortener&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FWeb_scraping,Low risk (protected by X-Frame-Options),No risk (no cross-domain scripts without integrity attribute found),Medium risk (Content-Security-Policy header missing),No risk (Strict-Transport-Security header is set correctly or not applicable),No risk (cookies secure),No risk (No application errors detected)
4,https://en.wikipedia.org/wiki/Domain_name_drop_list,High risk (X-Frame-Options header missing),No risk (no cross-domain scripts without integrity attribute found),Medium risk (Content-Security-Policy header missing),No risk (Strict-Transport-Security header is set correctly or not applicable),No risk (cookies secure),No risk (No application errors detected)
5,https://doi.org/10.15779%2FZ38B39B,Low risk (protected by Content-Security-Policy),No risk (no cross-domain scripts without integrity attribute found),Low risk (protected by Content-Security-Policy),No risk (Strict-Transport-Security header is set correctly or not applicable),Low risk (missing Secure attribute in cookie),No risk (No application errors detected)
6,https://en.wikipedia.org/wiki/Special:BookSources/9781595936097,Low risk (protected by X-Frame-Options),No risk (no cross-domain scripts without integrity attribute found),Medium risk (Content-Security-Policy header missing),No risk (Strict-Transport-Security header is set correctly or not applicable),No risk (cookies secure),No risk (No application errors detected)
7,https://en.wikipedia.org/wiki/Terms_of_service,High risk (X-Frame-Options header missing),No risk (no cross-domain scripts without integrity attribute found),Medium risk (Content-Security-Policy header missing),No risk (Strict-Transport-Security header is set correctly or not applicable),No risk (cookies secure),No risk (No application errors detected)
8,https://en.wikipedia.org/wiki/Perl,High risk (X-Frame-Options header missing),No risk (no cross-domain scripts without integrity attribute found),Medium risk (Content-Security-Policy header missing),No risk (Strict-Transport-Security header is set correctly or not applicable),No risk (cookies secure),No risk (No application errors detected)
9,https://en.wikipedia.org/wiki/Fake_news_website,High risk (X-Frame-Options header missing),No risk (no cross-domain scripts without integrity attribute found),Medium risk (Content-Security-Policy header missing),No risk (Strict-Transport-Security header is set correctly or not applicable),No risk (cookies secure),No risk (No application errors detected)
10,https://en.wikipedia.org/wiki/History_of_the_World_Wide_Web,High risk (X-Frame-Options header missing),No risk (no cross-domain scripts without integrity attribute found),Medium risk (Content-Security-Policy header missing),No risk (Strict-Transport-Security header is set correctly or not applicable),No risk (cookies secure),No risk (No application errors detected)
11,https://en.wikipedia.org/wiki/Injunction,High risk (X-Frame-Options header missing),No risk (no cross-domain scripts without integrity attribute found),Medium risk (Content-Security-Policy header missing),No risk (Strict-Transport-Security header is set correctly or not applicable),No risk (cookies secure),No risk (No application errors detected)
